TF gene ID,level in GCN
Zm00001d040318, 5
Zm00001d008308, 6
Zm00001d016814, 13
Zm00001d042609, 3
Zm00001d013003, 3
Zm00001d038221, 3
Zm00001d034601, 3
Zm00001d042246, 3
Zm00001d048044, 3
Zm00001d023294, 5
Zm00001d005208, 4
Zm00001d011969, 4
Zm00001d019207, 6
Zm00001d049136, 13
Zm00001d041791, 13
Zm00001d035266, 14
Zm00001d031463, 12
Zm00001d024268, 4
Zm00001d049913, 7
Zm00001d051879, 3
Zm00001d031655, 14
Zm00001d049860, 3
Zm00001d045463, 14
Zm00001d037029, 9
Zm00001d046126, 10
Zm00001d002828, 12
Zm00001d051294, 9
Zm00001d002934, 3
Zm00001d037356, 4
Zm00001d044726, 5
Zm00001d008648, 14
Zm00001d006835, 15
Zm00001d022109, 16
Zm00001d027874, 12
Zm00001d029505, 5
Zm00001d011915, 13
Zm00001d019865, 13
Zm00001d050242, 2
Zm00001d006813, 3
Zm00001d042968, 9
Zm00001d022099, 3
Zm00001d039581, 13
Zm00001d024230, 8
Zm00001d052838, 3
Zm00001d046967, 15
Zm00001d031310, 6
Zm00001d034872, 13
Zm00001d007436, 6
Zm00001d038557, 3
Zm00001d039250, 4
Zm00001d027510, 3
Zm00001d025757, 2
Zm00001d003176, 2
Zm00001d021442, 13
Zm00001d037786, 13
Zm00001d052781, 5
Zm00001d007240, 14
Zm00001d017241, 3
Zm00001d039907, 10
Zm00001d038907, 14
Zm00001d043782, 11
Zm00001d011639, 15
Zm00001d014698, 12
Zm00001d021056, 12
Zm00001d021573, 14
Zm00001d046906, 14
Zm00001d006091, 11
Zm00001d042319, 13
Zm00001d049165, 3
Zm00001d049824, 9
Zm00001d012015, 8
Zm00001d008176, 7
Zm00001d034730, 14
Zm00001d031487, 9
Zm00001d052905, 8
Zm00001d053775, 5
Zm00001d053890, 6
Zm00001d015233, 5
Zm00001d015410, 4
Zm00001d026175, 13
Zm00001d006451, 13
Zm00001d010309, 2
Zm00001d002005, 11
Zm00001d036692, 14
Zm00001d031451, 13
Zm00001d006028, 12
Zm00001d052890, 14
Zm00001d011843, 4
Zm00001d021285, 9
Zm00001d036426, 7
Zm00001d027752, 15
Zm00001d016298, 12
Zm00001d046223, 12
Zm00001d033898, 13
Zm00001d027802, 13
Zm00001d031182, 5
Zm00001d013547, 4
Zm00001d033379, 12
Zm00001d033861, 13
Zm00001d053749, 15
Zm00001d035439, 12
Zm00001d027431, 14
Zm00001d038355, 7
Zm00001d043423, 13
Zm00001d052256, 12
Zm00001d018806, 13
Zm00001d031725, 9
Zm00001d023565, 9
Zm00001d025033, 6
Zm00001d025896, 14
Zm00001d006165, 7
Zm00001d007868, 13
Zm00001d041866, 10
Zm00001d053020, 12
Zm00001d017350, 11
Zm00001d018045, 13
Zm00001d018530, 14
Zm00001d037221, 13
Zm00001d012725, 13
Zm00001d044836, 13
Zm00001d042305, 6
Zm00001d010730, 13
Zm00001d034353, 12
Zm00001d022256, 14
Zm00001d039371, 12
Zm00001d043368, 13
Zm00001d038683, 13
Zm00001d025982, 4
Zm00001d002782, 2
Zm00001d013588, 13
Zm00001d015412, 6
Zm00001d029974, 3
Zm00001d031266, 4
Zm00001d025275, 2
Zm00001d025720, 3
Zm00001d026245, 8
Zm00001d001894, 12
Zm00001d003549, 10
Zm00001d006331, 4
Zm00001d040682, 6
Zm00001d042271, 2
Zm00001d043902, 3
Zm00001d050583, 4
Zm00001d050698, 4
Zm00001d051316, 17
Zm00001d052798, 13
Zm00001d016755, 10
Zm00001d016876, 8
Zm00001d035457, 5
Zm00001d038994, 3
Zm00001d021389, 6
Zm00001d009160, 6
Zm00001d011571, 4
Zm00001d000045, 3
Zm00001d002801, 16
Zm00001d013849, 15
Zm00001d053718, 14
Zm00001d015605, 14
Zm00001d047589, 14
Zm00001d054080, 9
Zm00001d014938, 13
Zm00001d042917, 15
Zm00001d032453, 14
Zm00001d041158, 4
Zm00001d043500, 4
Zm00001d038704, 2
Zm00001d012734, 3
Zm00001d036148, 13
Zm00001d022524, 8
Zm00001d043076, 3
Zm00001d012516, 3
Zm00001d004889, 12
Zm00001d028986, 6
Zm00001d047559, 5
Zm00001d026453, 13
Zm00001d043937, 6
Zm00001d023332, 5
Zm00001d024275, 13
